OrderID,ProductID,Quantity
O02908,P0294,2
O00717,P0012,2
O00079,P0054,3
O03707,P0424,4
O01503,P0424,1
O02071,P0488,4
O04731,P0245,4
O00474,P0435,2
O03430,P0068,3
O00063,P0316,5
O00892,P0062,5
O02687,P0296,3
O03510,P0365,5
O02642,P0469,5
O02308,P0152,3
O01742,P0224,2
O04415,P0138,2
O03978,P0252,1
O04728,P0129,4
O01930,P0229,2
O00060,P0031,2
O03010,P0010,3
O03641,P0471,3
O02756,P0315,3
O01924,P0370,4
O03704,P0242,5
O03970,P0229,2
O00410,P0429,1
O01405,P0149,1
O00045,P0411,2
O03935,P0438,5
O02359,P0019,5
O02547,P0176,2
O01064,P0451,3
O02115,P0040,1
O01594,P0250,1
O02356,P0108,2
O01405,P0062,4
O02325,P0091,1
O01899,P0489,2
O03881,P0089,4
O03238,P0445,4
O03897,P0436,3
O02642,P0218,3
O01273,P0136,2
O02702,P0369,1
O02832,P0121,5
O03851,P0276,2
O00006,P0277,2
O00894,P0015,5
O01365,P0245,4
O02818,P0301,5
O03466,P0368,4
O04975,P0319,2
O01168,P0222,1
O00805,P0263,4
O03256,P0130,4
O00397,P0175,4
O03025,P0015,1
O00632,P0280,3
O03366,P0179,1
O04393,P0496,2
O04704,P0001,1
O02176,P0062,4
O04621,P0404,4
O03540,P0426,2
O01073,P0168,3
O01415,P0473,2
O03865,P0451,3
O04492,P0468,2
O03238,P0125,1
O01873,P0072,2
O00843,P0344,1
O02790,P0113,1
O02339,P0498,4
O04716,P0311,2
O02196,P0080,2
O02346,P0295,1
O00924,P0157,1
O03447,P0041,1
O03979,P0097,2
O04740,P0422,1
O02016,P0228,3
O04371,P0206,5
O01539,P0448,3
O04909,P0076,3
O02013,P0496,2
O03629,P0042,5
O04765,P0043,1
O03754,P0214,5
O01512,P0329,4
O03026,P0166,2
O02607,P0354,5
O04598,P0134,2
O04315,P0357,3
O00767,P0114,3
O00799,P0117,3
O02996,P0184,2
O03842,P0244,3
O03059,P0032,5
O00951,P0385,1
O03358,P0327,1
O03165,P0316,5
O02191,P0035,3
O01995,P0199,2
O03198,P0261,3
O03476,P0099,3
O02274,P0007,3
O01104,P0024,2
O04055,P0379,1
O03574,P0025,2
O01655,P0055,4
O02324,P0046,4
O01649,P0030,3
O03923,P0007,5
O04911,P0157,1
O03954,P0337,4
O01240,P0296,4
O02330,P0250,2
O02470,P0419,1
O01294,P0107,3
O00935,P0227,2
O01452,P0496,4
O04841,P0048,3
O01013,P0252,5
O04461,P0403,4
O01198,P0451,4
O03689,P0356,5
O01126,P0364,3
O01558,P0420,1
O01544,P0483,2
O01430,P0085,1
O01259,P0296,4
O02131,P0207,1
O01096,P0417,5
O00114,P0500,3
O03949,P0115,3
O00928,P0129,3
O04206,P0413,5
O03644,P0144,2
O04471,P0391,4
O04372,P0220,4
O02787,P0103,5
O03927,P0154,2
O03637,P0300,2
O04389,P0490,3
O03308,P0157,1
O00231,P0031,3
O01288,P0414,4
O01814,P0374,4
O03398,P0464,3
O02917,P0432,1
O04152,P0020,3
O02704,P0189,3
O00693,P0317,3
O03471,P0107,1
O02638,P0458,1
O02522,P0495,4
O01453,P0180,1
O04757,P0011,4
O02135,P0492,3
O01840,P0027,1
O04396,P0009,4
O02244,P0330,1
O04996,P0471,2
O02360,P0012,5
O01580,P0372,1
O01797,P0441,5
O01094,P0397,1
O03461,P0282,1
O02383,P0240,1
O04533,P0363,3
O04149,P0374,3
O00914,P0158,1
O02460,P0142,4
O00373,P0048,1
O01831,P0001,2
O04725,P0174,1
O03567,P0139,2
O01450,P0079,5
O03130,P0121,4
O04160,P0047,4
O01892,P0473,4
O00314,P0015,3
O01906,P0447,4
O04243,P0239,2
O04359,P0162,3
O04725,P0238,5
O02353,P0143,2
O04526,P0196,1
O01507,P0217,5
O03821,P0129,2
O03577,P0243,5
O02006,P0193,4
O02829,P0301,5
O02729,P0004,4
O02425,P0096,3
O00269,P0036,3
O02075,P0238,2
O01823,P0254,4
O01764,P0328,2
O02908,P0181,1
O00042,P0176,2
O01110,P0218,1
O03726,P0101,4
O02423,P0017,3
O01332,P0213,2
O02923,P0013,1
O03349,P0115,3
O04078,P0497,5
O02182,P0365,2
O03189,P0475,3
O04454,P0499,2
O00950,P0478,1
O01209,P0192,1
O01030,P0365,3
O02089,P0096,4
O01511,P0048,2
O01177,P0452,1
O00112,P0277,5
O00959,P0332,3
O01696,P0258,1
O01814,P0091,4
O02965,P0239,3
O00491,P0046,1
O04264,P0343,3
O01720,P0196,2
O03292,P0450,3
O00421,P0388,3
O02925,P0087,2
O04094,P0437,3
O03572,P0016,1
O02707,P0357,4
O00498,P0206,2
O01956,P0293,1
O02936,P0486,5
O01566,P0207,5
O03910,P0382,4
O03315,P0101,2
O03566,P0158,2
O03362,P0121,2
O02480,P0131,5
O04241,P0381,4
O04410,P0322,5
O00525,P0228,1
O02327,P0353,4
O00968,P0086,4
O00960,P0132,2
O02619,P0230,5
O02013,P0340,5
O04819,P0403,1
O00592,P0136,5
O04052,P0037,4
O00693,P0273,5
O00325,P0175,4
O00502,P0468,3
O01432,P0041,1
O04720,P0023,5
O03938,P0235,1
O01404,P0270,1
O03483,P0357,5
O00617,P0011,4
O04194,P0481,3
O01454,P0365,5
O03370,P0131,5
O01878,P0284,1
O00125,P0188,3
O00511,P0190,2
O01222,P0366,5
O04744,P0142,4
O01109,P0148,3
O03910,P0466,5
O02816,P0029,3
O04665,P0065,5
O03217,P0274,5
O04601,P0126,3
O01993,P0305,2
O00976,P0155,3
O03674,P0154,1
O03630,P0074,1
O03913,P0052,5
O04627,P0031,3
O00047,P0421,1
O02230,P0309,3
O01469,P0087,5
O03603,P0166,2
O02071,P0118,3
O00286,P0314,5
O02753,P0418,3
O00248,P0136,2
O01777,P0456,5
O02666,P0248,3
O01364,P0057,5
O00305,P0477,2
O01057,P0385,3
O02788,P0463,5
O01483,P0331,1
O02078,P0143,5
O04467,P0049,3
O04823,P0327,2
O03064,P0057,4
O00114,P0325,1
O01533,P0432,2
O02485,P0250,4
O01877,P0281,1
O03908,P0340,2
O00389,P0422,2
O03635,P0397,4
O03350,P0266,4
O01200,P0236,3
O04651,P0286,5
O02859,P0380,4
O00812,P0083,1
O00369,P0378,4
O04983,P0236,4
O01678,P0118,4
O01621,P0387,2
O02865,P0208,2
O02869,P0324,1
O00769,P0299,1
O03899,P0352,5
O04240,P0048,3
O04692,P0283,2
O02146,P0103,5
O03938,P0216,5
O04567,P0200,4
O02177,P0196,5
O04645,P0466,5
O01706,P0072,4
O00170,P0402,4
O04821,P0096,3
O00930,P0414,4
O04218,P0048,3
O00020,P0308,5
O03440,P0363,4
O04878,P0124,1
O02562,P0287,2
O02319,P0195,2
O04408,P0193,1
O03234,P0216,2
O02207,P0198,2
O03922,P0381,2
O01671,P0366,3
O04833,P0237,4
O00599,P0325,5
O02311,P0168,1
O01298,P0408,3
O03794,P0111,5
O02767,P0379,5
O02082,P0021,5
O00635,P0457,1
O02210,P0234,4
O02325,P0376,2
O02395,P0125,1
O00923,P0206,3
O04091,P0199,5
O01219,P0209,2
O00638,P0023,5
O04472,P0047,1
O01118,P0289,3
O00676,P0079,2
O00401,P0248,3
O03142,P0495,5
O01603,P0407,1
O02432,P0117,1
O02188,P0213,2
O04115,P0050,1
O04938,P0113,1
O02991,P0372,1
O02462,P0340,1
O03104,P0065,1
O00043,P0054,5
O04489,P0311,2
O00656,P0227,1
O04372,P0342,3
O01490,P0139,4
O00061,P0034,1
O02057,P0216,5
O02746,P0495,5
O04084,P0286,4
O04852,P0415,4
O01884,P0373,2
O01698,P0188,5
O04669,P0110,2
O01480,P0443,2
O04202,P0425,5
O04970,P0488,3
O03500,P0157,4
O01912,P0310,4
O03388,P0006,4
O01958,P0135,5
O03012,P0305,3
O02350,P0329,5
O02925,P0438,1
O00997,P0008,1
O01490,P0126,1
O02060,P0287,3
O03749,P0208,1
O04340,P0322,3
O01482,P0405,4
O02915,P0142,3
O00585,P0246,1
O02094,P0152,4
O02192,P0444,5
O01394,P0388,1
O01388,P0393,1
O03818,P0133,5
O01162,P0142,5
O04425,P0316,4
O04999,P0218,1
O04237,P0303,4
O03382,P0480,3
O03545,P0206,2
O03983,P0046,2
O00021,P0089,2
O02037,P0190,2
O00479,P0483,2
O00175,P0028,2
O04187,P0208,3
O01955,P0388,5
O04419,P0178,3
O01554,P0359,2
O00310,P0215,2
O00198,P0393,2
O04458,P0450,3
O03053,P0425,3
O02283,P0483,2
O00479,P0416,4
O04507,P0295,4
O01176,P0475,3
O04515,P0062,5
O03368,P0426,1
O02318,P0131,4
O03151,P0127,3
O03063,P0015,4
O03828,P0254,4
O02749,P0461,5
O00117,P0159,1
O00507,P0436,3
O02818,P0381,2
O00530,P0285,1
O04185,P0200,1
O01868,P0135,4
O02180,P0487,2
O04280,P0340,5
O02314,P0499,1
O01418,P0172,5
O01991,P0441,2
O03091,P0286,3
O03856,P0127,2
O00397,P0197,1
O03277,P0004,3
O02933,P0147,4
O00060,P0049,5
O00426,P0156,5
O00929,P0306,1
O01817,P0386,2
O03482,P0343,4
O00380,P0094,1
O04372,P0499,4
O01711,P0135,5
O04578,P0149,5
O04059,P0316,3
O04149,P0128,1
O00480,P0099,5
O01785,P0111,5
O00402,P0218,2
O00252,P0108,2
O02610,P0473,4
O00836,P0169,1
O03506,P0406,1
O04805,P0392,3
O04380,P0220,4
O01795,P0392,5
O03583,P0466,4
O04466,P0108,3
O04744,P0346,1
O03761,P0417,5
O00365,P0483,1
O02952,P0193,1
O00240,P0338,3
O02908,P0005,2
O02103,P0485,5
O03457,P0376,1
O03287,P0125,1
O00681,P0181,5
O01154,P0275,5
O03854,P0477,4
O04535,P0339,4
O03863,P0148,5
O02240,P0238,1
O01257,P0483,2
O02818,P0311,3
O01449,P0122,1
O00469,P0176,5
O00468,P0406,4
O02477,P0477,4
O04407,P0172,1
O03401,P0287,5
O04280,P0375,1
O00791,P0195,1
O04548,P0365,5
O04747,P0351,1
O04522,P0459,4
O00127,P0244,2
O01704,P0304,4
O04932,P0334,2
O01464,P0078,4
O01646,P0418,1
O02988,P0428,2
O00810,P0466,4
O03636,P0009,3
O03295,P0410,5
O02776,P0120,1
O03994,P0388,2
O04055,P0210,1
O01314,P0490,3
O00465,P0496,1
O01455,P0346,1
O00627,P0370,3
O03935,P0490,3
O04164,P0482,2
O01534,P0437,5
O04581,P0039,1
O02503,P0344,4
O02841,P0181,2
O02324,P0070,3
O02599,P0404,4
O02592,P0040,5
O02928,P0314,5
O01357,P0003,4
O00148,P0337,4
O01132,P0350,4
O01117,P0129,2
O03795,P0102,3
O01922,P0478,3
O02552,P0023,1
O01705,P0038,3
O04714,P0385,4
O01460,P0370,4
O04692,P0498,2
O04931,P0264,4
O04325,P0391,3
O01966,P0130,1
O04216,P0319,2
O03541,P0475,1
O02402,P0179,3
O01255,P0271,5
O00077,P0439,4
O01415,P0430,1
O03581,P0292,5
O01227,P0433,3
O01207,P0368,4
O02372,P0182,2
O03938,P0233,5
O04742,P0172,4
O02838,P0480,2
O02241,P0197,3
O02060,P0214,3
O04787,P0365,1
O03172,P0445,4
O02429,P0239,2
O04851,P0286,2
O01247,P0443,3
O02181,P0010,3
O00676,P0188,2
O03835,P0241,1
O01939,P0449,5
O02734,P0217,1
O00615,P0488,2
O04906,P0441,2
O00449,P0392,1
O04221,P0107,3
O00035,P0130,5
O00033,P0185,5
O04425,P0231,4
O04730,P0392,1
O02341,P0177,2
O02771,P0093,5
O00713,P0425,4
O00890,P0058,1
O02779,P0247,3
O04298,P0400,4
O04279,P0478,2
O03545,P0241,2
O04292,P0032,1
O00166,P0095,2
O04844,P0468,3
O00747,P0202,1
O03463,P0212,1
O02832,P0067,2
O04200,P0278,4
O04071,P0491,4
O04208,P0025,1
O00305,P0045,3
O00258,P0040,2
O00353,P0141,2
O04923,P0027,2
O02984,P0377,4
O03431,P0351,3
O01155,P0478,2
O04659,P0267,1
O03762,P0145,5
O01854,P0192,1
O02046,P0420,2
O01391,P0124,4
O03250,P0487,5
O04367,P0139,4
O01494,P0122,3
O03064,P0444,4
O03210,P0457,2
O01751,P0072,4
O00077,P0169,4
O00446,P0409,2
O00813,P0017,5
O00874,P0465,1
O02842,P0451,4
O04733,P0433,5
O02626,P0268,4
O01123,P0396,2
O03779,P0098,3
O02806,P0198,4
O04570,P0248,4
O03431,P0403,3
O00183,P0030,3
O04092,P0174,5
O03720,P0054,2
O03047,P0078,1
O04062,P0304,4
O00046,P0342,2
O02443,P0310,1
O00230,P0176,3
O03898,P0167,1
O00495,P0409,5
O00214,P0393,1
O03265,P0206,3
O00953,P0293,2
O02582,P0400,4
O00334,P0254,4
O01399,P0060,2
O02718,P0428,1
O02864,P0094,3
O01147,P0434,1
O00345,P0389,5
O02955,P0300,2
O00738,P0026,4
O01756,P0107,4
O01881,P0122,3
O03214,P0264,4
O03877,P0013,2
O00393,P0092,5
O04821,P0061,3
O01108,P0219,5
O00830,P0316,3
O02716,P0147,1
O00743,P0395,2
O02015,P0041,2
O00572,P0258,2
O03861,P0015,1
O03465,P0078,2
O01431,P0458,5
O00725,P0201,1
O00065,P0267,5
O04659,P0196,3
O00523,P0240,3
O03214,P0255,4
O00813,P0430,1
O03588,P0248,4
O00168,P0184,3
O01491,P0157,1
O00367,P0050,1
O04308,P0380,4
O02977,P0077,4
O00837,P0089,1
O01573,P0003,5
O02512,P0326,1
O01397,P0411,4
O02956,P0114,3
O01588,P0265,3
O02392,P0185,4
O01799,P0389,1
O03509,P0087,4
O00002,P0343,2
O00862,P0197,3
O02200,P0376,1
O00259,P0030,4
O02939,P0286,1
O02904,P0357,3
O02493,P0100,4
O02485,P0195,1
O03174,P0237,1
O04437,P0400,2
O03485,P0261,2
O04458,P0416,3
O04888,P0027,2
O00228,P0074,1
O03462,P0258,4
O00203,P0399,5
O00458,P0264,2
O01184,P0254,2
O03705,P0054,3
O03477,P0421,1
O02059,P0139,5
O02044,P0480,5
O01561,P0077,3
O00148,P0150,5
O00695,P0338,5
O02102,P0196,4
O01978,P0496,5
O04002,P0154,1
O01435,P0070,3
O00584,P0394,2
O01238,P0344,4
O00952,P0457,3
O02948,P0245,1
O00064,P0190,4
O02230,P0310,4
O00168,P0420,3
O04157,P0395,4
O04764,P0112,3
O01595,P0299,2
O00318,P0411,3
O04444,P0321,3
O02976,P0483,4
O01141,P0312,5
O00870,P0032,5
O03195,P0141,1
O03950,P0243,4
O01330,P0292,3
O02265,P0248,1
O00804,P0406,1
O03311,P0119,1
O00775,P0471,2
O04443,P0494,5
O02779,P0025,1
O00634,P0171,2
O01884,P0137,2
O02250,P0486,3
O02003,P0224,5
O04599,P0199,5
O03074,P0253,3
O02060,P0433,1
O02746,P0043,3
O04948,P0101,4
O01100,P0264,1
O04987,P0336,4
O03666,P0308,1
O03802,P0418,1
O04510,P0094,5
O01523,P0080,2
O02390,P0440,5
O04182,P0338,1
O01619,P0428,5
O03756,P0190,3
O02932,P0399,1
O00269,P0430,5
O01849,P0371,1
O01153,P0073,1
O04678,P0274,2
O01844,P0157,3
O00971,P0488,2
O01550,P0179,1
O04410,P0106,4
O03461,P0465,5
O01357,P0477,5
O02387,P0358,5
O03355,P0157,4
O00037,P0271,4
O04159,P0274,5
O01230,P0059,4
O04932,P0137,2
O02397,P0284,3
O00903,P0139,4
O00798,P0369,4
O02588,P0384,4
O00954,P0194,5
O02411,P0409,3
O01538,P0284,1
O02213,P0063,4
O00592,P0411,5
O02621,P0147,2
O01867,P0378,5
O04019,P0211,4
O02704,P0050,5
O00767,P0003,4
O02763,P0204,4
O03516,P0199,3
O04725,P0127,4
O03659,P0188,1
O00386,P0490,5
O03526,P0365,4
O02745,P0224,1
O02423,P0167,5
O03562,P0108,5
O01895,P0063,4
O04316,P0468,3
O00255,P0202,5
O02310,P0162,3
O03686,P0096,5
O03611,P0241,1
O01916,P0466,2
O01556,P0252,5
O03534,P0121,2
O03916,P0292,4
O03348,P0359,2
O03642,P0216,5
O00973,P0008,3
O03501,P0113,1
O01097,P0312,2
O04612,P0241,3
O00874,P0167,1
O00120,P0488,2
O01323,P0220,4
O00551,P0437,5
O04927,P0113,2
O00288,P0030,2
O02902,P0303,2
O02592,P0378,4
O02354,P0186,4
O04227,P0387,3
O04595,P0115,3
O00338,P0005,3
O04846,P0404,3
O02834,P0224,5
O03326,P0473,5
O03099,P0177,1
O04445,P0052,3
O02404,P0158,2
O02307,P0066,1
O01783,P0291,3
O04570,P0335,2
O03687,P0291,5
O03844,P0058,3
O04300,P0281,5
O00700,P0009,2
O02051,P0231,4
O04545,P0471,3
O03522,P0003,3
O00762,P0261,4
O02793,P0050,4
O01186,P0380,2
O01125,P0317,4
O02252,P0400,3
O02323,P0346,1
O00372,P0237,3
O01722,P0387,5
O02487,P0295,5
O00548,P0100,1
O00078,P0082,4
O01082,P0191,4
O00383,P0177,4
O03245,P0291,5
O01594,P0334,5
O02955,P0278,1
O03960,P0155,5
O01500,P0136,4
O00071,P0127,5
O03495,P0092,3
O00346,P0178,4
O00521,P0122,2
O01492,P0224,1
O04223,P0469,2
O02624,P0308,2
O02182,P0215,5
O04415,P0210,3
O04897,P0330,4
O01781,P0478,3
O03523,P0188,1
O04023,P0364,5
O02108,P0422,5
O00690,P0126,4
O02921,P0023,2
O02019,P0080,1
O02258,P0220,1
O01724,P0424,1
O00754,P0429,2
O00840,P0082,5
O00078,P0391,2
O03806,P0320,5
O03826,P0465,3
O04646,P0254,3
O01237,P0064,4
O03305,P0002,1
O02106,P0368,2
O04935,P0308,5
O00828,P0159,1
O03660,P0113,2
O03621,P0127,3
O03017,P0187,2
O02273,P0386,4
O04905,P0277,3
O04581,P0437,4
O04316,P0105,1
O02650,P0167,1
O04391,P0073,1
O04585,P0162,4
O04433,P0439,4
O00455,P0300,2
O03928,P0152,1
O00472,P0311,1
O01485,P0073,1
O03600,P0182,3
O01835,P0373,3
O03938,P0354,1
O04460,P0244,1
O03406,P0439,5
O01535,P0453,1
O04265,P0194,4
O04717,P0145,3
O04750,P0085,1
O02768,P0212,2
O03836,P0335,1
O00914,P0329,4
O00227,P0355,5
O01298,P0117,5
O00999,P0481,1
O01699,P0050,1
O03180,P0375,2
O04708,P0489,4
O02223,P0013,4
O04875,P0272,2
O00831,P0130,4
O01365,P0088,2
O02583,P0453,5
O04559,P0110,5
O04366,P0260,3
O03923,P0352,5
O02944,P0162,5
O01575,P0145,2
O04316,P0206,4
O03070,P0500,3
O01965,P0194,4
O04518,P0324,4
O00205,P0371,3
O00384,P0439,2
O01810,P0314,3
O01581,P0292,4
O01522,P0007,3
O03905,P0091,5
O00649,P0095,5
O02577,P0296,2
O03771,P0201,3
O04203,P0197,3
O03597,P0318,3
O01688,P0076,1
O02113,P0012,1
O03187,P0447,1
O01323,P0195,1
O03064,P0317,2
O01467,P0081,4
O04087,P0345,2
O00579,P0047,5
O01330,P0269,2
O02936,P0395,4
O01730,P0283,3
O04164,P0267,4
O04325,P0415,5
O04279,P0354,4
O01029,P0342,4
O02784,P0037,5
O04164,P0473,2
O01751,P0368,2
O00627,P0500,1
O01550,P0197,4
O02840,P0002,5
O02134,P0365,1
O01280,P0255,4
O01706,P0402,2
O03416,P0028,3
O04449,P0351,5
O02112,P0102,4
O00793,P0181,1
O03916,P0053,4
O02177,P0333,1
O03333,P0283,5
O02813,P0293,3
O00078,P0007,3
O03402,P0284,3
O01875,P0283,4
O04356,P0469,3
O04136,P0400,3
O01103,P0084,3
O03636,P0214,4
O00786,P0085,3
O02169,P0046,1
O01799,P0185,5
O03471,P0127,2
O02402,P0136,1
O02793,P0296,1
O03619,P0212,5
O03257,P0306,4
O02254,P0463,1
O03524,P0466,2
O04855,P0245,5
O04315,P0124,5
O02189,P0437,4
O01480,P0272,5
O03554,P0163,3
O02768,P0380,3
O02655,P0392,2
O00851,P0042,2
O03639,P0138,4
O03949,P0278,3
O04323,P0134,3
O01274,P0359,5
O04905,P0113,3
O04539,P0374,3
O02046,P0021,2
O02933,P0254,5
O03925,P0348,2
O04536,P0205,3
O00494,P0130,3
O03715,P0371,3
O03013,P0330,5
O02007,P0382,4
O00792,P0369,1
O04105,P0465,1
O01870,P0055,5
O02276,P0240,4
O02786,P0055,2
O02500,P0016,1
O01268,P0237,4
O04578,P0386,2
O04558,P0028,5
O01940,P0458,2
O00550,P0244,5
O01735,P0434,4
O04844,P0187,5
O02230,P0089,1
O04847,P0057,3
O02126,P0139,4
O00681,P0439,5
O04139,P0436,4
O00626,P0495,1
O01556,P0485,1
O04524,P0384,2
O01120,P0499,1
O00336,P0176,2
O02678,P0220,4
O02652,P0306,4
O03024,P0137,1
O04111,P0190,4
O00029,P0005,2
O03792,P0313,2
O04065,P0408,3
O01794,P0499,4
O02726,P0182,2
O00118,P0066,4
O02840,P0198,1
O01021,P0147,2
O03066,P0333,1
O02825,P0482,3
O01688,P0007,2
O00821,P0390,2
O00734,P0041,5
O04300,P0421,5
O04232,P0314,5
O00294,P0384,4
O01633,P0470,1
O02833,P0274,2
O03389,P0474,5
O01965,P0377,5
O04781,P0184,4
O02969,P0081,5
O01592,P0293,3
O03623,P0105,2
O03331,P0149,3
O02944,P0472,3
O03304,P0236,4
O01118,P0165,4
O01714,P0229,1
O01527,P0365,3
O04256,P0299,1
O03646,P0409,3
O04502,P0484,4
O04519,P0204,1
O01544,P0397,3
O04300,P0286,5
O01222,P0059,1
O02152,P0441,1
O02379,P0073,3
O00693,P0172,3
O02786,P0484,3
O00683,P0051,4
O04713,P0259,2
O01991,P0161,3
O02628,P0413,1
O01752,P0194,2
O04126,P0049,4
O04961,P0431,3
O04883,P0246,4
O04719,P0248,2
O00765,P0436,2
O01493,P0266,3
